image_type,best_epoch,total_epochs,total_time_min,val_accuracy,val_f1,val_precision,val_recall,val_auc,val_loss,train_accuracy,train_loss,train_f1,train_accuracy_pred,train_n,train_age_mae,train_age_rmse,train_age_bias,train_conf_mean,train_conf_pct_high,train_conf_pct_low,train_pop1_accuracy,train_pop2_accuracy,val_accuracy_pred,val_n,val_age_mae,val_age_rmse,val_age_bias,val_conf_mean,val_conf_pct_high,val_conf_pct_low,val_pop1_accuracy,val_pop2_accuracy,test_accuracy_pred,test_n,test_age_mae,test_age_rmse,test_age_bias,test_conf_mean,test_conf_pct_high,test_conf_pct_low,test_pop1_accuracy,test_pop2_accuracy
embedded,15,36,1453.4,79.638,0.7956,0.7952,0.798,0.8448,10.7851,82.7145,7.7605,0.8255,96.48,1562,1.067,1.436,-0.57,79.8,53.6,7.0,95.6,97.57,79.64,442,1.314,1.829,-0.741,75.9,41.4,14.9,79.01,80.4,78.7,230,1.115,1.577,-0.608,74.2,37.0,17.8,84.13,72.12
not_embedded,21,23,927.8,80.7692,0.8077,0.8134,0.8146,0.8587,9.7383,83.8668,7.2876,0.837,89.95,1562,1.184,1.617,-0.842,74.5,33.1,11.0,88.06,92.27,79.64,442,1.209,1.633,-0.726,72.6,31.2,18.3,79.01,80.4,80.43,230,1.228,1.696,-0.786,71.6,25.2,19.1,80.95,79.81
