fish_key,otolith_key,prefix,fish_index,single,selected_view,embedded_file_name,embedded_file_path,not_embedded_file_name,not_embedded_file_path
2022_bias_her_wladyslawowskie_fishindex56,2022_bias_her_wladyslawowskie_fishindex56_single1,2022_BIAS_HER_Wladyslawowskie,FishIndex56,Single1,Left,2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex56_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex56_Single1_Left.jpg,2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex56_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex56_Single1_Left.jpg
2022_bias_her_wladyslawowskie_fishindex56,2022_bias_her_wladyslawowskie_fishindex56_single2,2022_BIAS_HER_Wladyslawowskie,FishIndex56,Single2,Right,2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex56_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex56_Single2_Right.jpg,2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex56_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex56_Single2_Right.jpg
2022_bias_her_wladyslawowskie_fishindex58,2022_bias_her_wladyslawowskie_fishindex58_single1,2022_BIAS_HER_Wladyslawowskie,FishIndex58,Single1,Right,2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex58_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex58_Single1_Right.jpg,2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex58_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex58_Single1_Right.jpg
2022_bias_her_wladyslawowskie_fishindex58,2022_bias_her_wladyslawowskie_fishindex58_single2,2022_BIAS_HER_Wladyslawowskie,FishIndex58,Single2,Left,2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex58_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex58_Single2_Left.jpg,2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex58_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex58_Single2_Left.jpg
2022_bias_her_wladyslawowskie_fishindex59,2022_bias_her_wladyslawowskie_fishindex59_single2,2022_BIAS_HER_Wladyslawowskie,FishIndex59,Single2,Right,2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex59_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex59_Single2_Right.jpg,2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex59_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex59_Single2_Right.jpg
2022_bias_her_wladyslawowskie_fishindex60,2022_bias_her_wladyslawowskie_fishindex60_single1,2022_BIAS_HER_Wladyslawowskie,FishIndex60,Single1,Right,2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex60_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex60_Single1_Right.jpg,2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex60_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex60_Single1_Right.jpg
2022_bias_her_wladyslawowskie_fishindex60,2022_bias_her_wladyslawowskie_fishindex60_single2,2022_BIAS_HER_Wladyslawowskie,FishIndex60,Single2,Left,2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex60_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex60_Single2_Left.jpg,2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex60_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex60_Single2_Left.jpg
2022_bias_her_wladyslawowskie_fishindex61,2022_bias_her_wladyslawowskie_fishindex61_single1,2022_BIAS_HER_Wladyslawowskie,FishIndex61,Single1,Left,2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex61_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex61_Single1_Left.jpg,2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex61_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex61_Single1_Left.jpg
2022_bias_her_wladyslawowskie_fishindex61,2022_bias_her_wladyslawowskie_fishindex61_single2,2022_BIAS_HER_Wladyslawowskie,FishIndex61,Single2,Right,2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex61_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex61_Single2_Right.jpg,2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex61_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex61_Single2_Right.jpg
2022_bias_her_wladyslawowskie_fishindex7,2022_bias_her_wladyslawowskie_fishindex7_single1,2022_BIAS_HER_Wladyslawowskie,FishIndex7,Single1,Right,2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex7_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex7_Single1_Right.jpg,2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex7_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex7_Single1_Right.jpg
