image_type,best_epoch,total_epochs,total_time_min,val_accuracy,val_f1,val_precision,val_recall,val_auc,val_loss,train_accuracy,train_loss,train_f1,train_accuracy_pred,train_n,train_age_mae,train_age_rmse,train_age_bias,train_conf_mean,train_conf_pct_high,train_conf_pct_low,train_pop1_accuracy,train_pop2_accuracy,val_accuracy_pred,val_n,val_age_mae,val_age_rmse,val_age_bias,val_conf_mean,val_conf_pct_high,val_conf_pct_low,val_pop1_accuracy,val_pop2_accuracy,test_accuracy_pred,test_n,test_age_mae,test_age_rmse,test_age_bias,test_conf_mean,test_conf_pct_high,test_conf_pct_low,test_pop1_accuracy,test_pop2_accuracy
embedded,18,23,311.3,77.6018,0.7739,0.7738,0.774,0.8284,10.7331,85.4033,6.681,0.8527,93.73,1562,1.129,1.488,0.087,76.0,39.4,9.4,95.37,91.7,77.6,442,1.192,1.64,0.021,72.3,31.4,22.4,79.42,75.38,82.61,230,1.116,1.475,0.106,73.9,33.5,16.5,88.1,75.96
not_embedded,13,23,59.0,80.3167,0.8007,0.8016,0.8001,0.863,8.933,82.0743,8.1043,0.8195,92.83,1562,1.077,1.414,-0.038,75.5,34.8,9.9,90.03,96.28,79.41,442,1.07,1.444,-0.05,72.2,27.1,19.0,77.37,81.91,79.57,230,1.131,1.46,-0.006,72.1,24.8,15.7,76.98,82.69
