image_type,best_epoch,total_epochs,total_time_min,val_accuracy,val_f1,val_precision,val_recall,val_auc,val_loss,train_accuracy,train_loss,train_f1,train_accuracy_pred,train_n,train_age_mae,train_age_rmse,train_age_bias,train_conf_mean,train_conf_pct_high,train_conf_pct_low,train_pop1_accuracy,train_pop2_accuracy,val_accuracy_pred,val_n,val_age_mae,val_age_rmse,val_age_bias,val_conf_mean,val_conf_pct_high,val_conf_pct_low,val_pop1_accuracy,val_pop2_accuracy,test_accuracy_pred,test_n,test_age_mae,test_age_rmse,test_age_bias,test_conf_mean,test_conf_pct_high,test_conf_pct_low,test_pop1_accuracy,test_pop2_accuracy
embedded,14,19,44.3,79.4582,0.7935,0.7934,0.7979,0.8527,11.1439,82.255,9.2647,0.8215,90.84,1561,0.975,1.383,-0.196,72.9,28.1,14.2,89.37,92.62,79.46,443,1.227,1.727,-0.388,70.2,21.7,22.1,77.11,82.47,82.17,230,1.173,1.793,-0.585,69.1,19.1,27.4,80.31,84.47
not_embedded,10,15,28.6,80.1354,0.8004,0.8004,0.8051,0.8501,10.8602,78.7956,10.8621,0.7863,88.15,1561,1.048,1.423,-0.122,71.3,23.4,17.2,88.9,87.23,80.14,443,1.211,1.684,-0.34,69.1,19.9,25.5,77.51,83.51,79.57,230,1.228,1.764,-0.44,70.0,23.5,25.2,77.95,81.55
