image_type,best_epoch,total_epochs,total_time_min,val_accuracy,val_f1,val_precision,val_recall,val_auc,val_loss,train_accuracy,train_loss,train_f1,train_accuracy_pred,train_n,train_age_mae,train_age_rmse,train_age_bias,train_conf_mean,train_conf_pct_high,train_conf_pct_low,train_pop1_accuracy,train_pop2_accuracy,val_accuracy_pred,val_n,val_age_mae,val_age_rmse,val_age_bias,val_conf_mean,val_conf_pct_high,val_conf_pct_low,val_pop1_accuracy,val_pop2_accuracy,test_accuracy_pred,test_n,test_age_mae,test_age_rmse,test_age_bias,test_conf_mean,test_conf_pct_high,test_conf_pct_low,test_pop1_accuracy,test_pop2_accuracy
embedded,26,31,174.1,81.2217,0.8104,0.8103,0.8106,0.8468,8.9837,83.9309,7.2428,0.8382,87.96,1562,1.06,1.516,-0.48,69.6,12.2,14.9,90.38,84.98,81.22,442,1.084,1.562,-0.511,69.2,14.3,17.4,82.72,79.4,81.74,230,1.02,1.479,-0.427,68.5,8.7,22.2,88.1,74.04
not_embedded,12,16,91.9,77.3756,0.7736,0.7766,0.7788,0.8482,9.6618,77.0807,10.0766,0.7694,84.38,1562,1.303,1.822,-0.712,67.9,11.5,20.4,82.97,86.12,76.92,442,1.26,1.744,-0.664,67.1,12.7,25.1,78.19,75.38,76.96,230,1.303,1.767,-0.558,66.7,11.7,29.1,79.37,74.04
